ID,name,director,actor,released_date,tags,area
26363254,战狼2,['吴京'],"['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗', '丁海峰', '淳于珊珊', '余男', '于谦', '石兆琪', '海蒂·莫尼梅克', '奥列格·亚历山大罗维奇', '艾伦·托尼', '赛尔·哈里斯', '高明', '王森', '苇青', '程愫', '张永达', '郭秋成', '杜建桥', '周冠廷', '安·詹姆斯', '黛安娜·希拉', '孙率航', '张馨月', '关海龙', '安妮塔·斯图尔特', '特雷弗·琼斯', '奥斯汀·普里斯特', '克莱·方特诺特', '保罗·艾力卡', '丹尼尔·哈格里夫', '李镇男', '庄小龙', '陈云志', '肯尼迪', '宋歌', '喜利图', '希尔维斯塔·斯图尔特', '蔡明凯', '周强', '尼基塔·罗岑科']",2017,"['动作', '战争']",['中国大陆']
26705107,豆福传,['邹燚'],"['陈佩斯', '李立群', '季冠霖', '付博文', '张磊', '李立宏', '赵毅', '胡健', '樊俊航']",2017,['动画'],['中国大陆']
26760160,破·局,['连奕琦'],"['郭富城', '王千源', '刘涛', '余皑磊', '冯嘉怡', '郑凯', '吴中天', '卢宣彤']",2017,"['动作', '犯罪']",['中国大陆']
25823277,三生三世十里桃花,"['赵小丁', '安东尼·拉默里纳拉']","['刘亦菲', '杨洋', '罗晋', '严屹宽', '李纯', '顾璇', '陈佩斯', '彭子苏', '张贺茗', '王羽铮', '塔拉', '陈星旭', '张雅钦', '张冉怡', '董文腾', '青琳昊']",2017,"['爱情', '奇幻']",['中国大陆']
26873799,龙之战,['高峰'],"['刘佩琦', '曹云金', '罗昱焜', '李子雄', '罗云琦', '倪学增', '尚']",2017,"['动作', '历史', '战争']",['中国大陆']
25857966,鲛珠传,['杨磊'],"['王大陆', '张天爱', '任达华', '盛冠森', '王迅', '赵健', '刘俊孝', '释彦能', '胡兵', '何穗', '蒋璐霞', '杜奕衡', '周一围', '吴了了', '程枫', '达来哈里呼', '王齐', '刘邦邦', '王俪萦', '杨乾龙', '杨青竹', '陈喆伦', '法志远']",2017,"['喜剧', '动作', '爱情', '奇幻']","['中国大陆', '中国香港']"
26698000,心理罪,['谢东燊'],"['廖凡', '李易峰', '万茜', '李纯', '张国柱', '谢君豪', '封佳奇', '蔡鹭', '虞朗', '范湉湉', '易扬', '周帅', '赵婉瑜', '魏翔']",2017,"['动作', '悬疑', '犯罪']",['中国大陆']
26759539,十万个冷笑话2,"['卢恒宇', '李姝洁']","['山新', '郝祥海', '李姝洁', '藤新', '图特哈蒙', '李佳怡', '佟心竹', '九孔', '卢恒宇', '宝木中阳', '张杰', '闫夜桥', '李璐', '四刀辉彰']",2017,"['喜剧', '动画', '奇幻']",['中国大陆']
26826398,杀破狼·贪狼,['叶伟信'],"['古天乐', '吴樾', '托尼·贾', '林家栋', '高战', '郑雪儿', '卢惠光', '蔡洁', '陈汉娜', '维他亚·潘斯林加姆', '索姆波布·本贾蒂库尔', '斯拉潘·瓦塔纳金达', '林晓彤', '马诺普·瓦纳辛萨普隆', '吉特拉达·伦格罗贾里', '吉拉帕特·法恩戈恩', '尤辛·乌多姆桑蒂', '宋淑鑫', '张贵博', '魏国庆', '蔡家元', '林志勇', '欧卡·基拉蒂', '梅西·塔普提姆通', '布宗·萨特诺克', '郑思琳', '查理·鲁德波卡农', '袁浩杨']",2017,"['剧情', '动作']","['中国香港', '中国大陆']"
26991769,恐怖毕业照2,['陆诗雨'],"['陈圆', '刘俐儿', '宋伟', '聂晶磊', '柴子娣', '李晨溪', '刘冲儿']",2017,"['惊悚', '恐怖']",['中国大陆']
27040349,二次初恋,['戴玮'],"['朱茵', '杜天皓', '黄征', '王志飞', '王嘉宁', '夏志远', '邰智源', '陈牧耶']",2017,"['喜剧', '爱情', '奇幻']",['中国大陆']
26752106,黑白迷宫,['阚家伟'],"['任达华', '陈小春', '伍允龙', '邱意浓', '张兆辉', '林雪', '李子雄', '桂晶晶', '李生衍', '黄岚', '叶项明', '余金珠', '王文成', '陈彼得', '李宗彦', '唐紫睿', '张荣祥']",2017,"['剧情', '动作', '犯罪']","['中国大陆', '中国香港']"
26926321,缝纫机乐队,['大鹏'],"['大鹏', '乔杉', '古力娜扎', '李鸿其', '韩童生', '曲隽希', '于谦', '岳云鹏', '王劲松', '于洋', '代乐乐', '赵英俊', '马大明', '张一鸣', '衣云鹤', '曹然然', '曹桐睿', '宋小宝', '刘小光', '文松', '宋晓峰', '周冬雨', '袁姗姗', '宋茜', '林志玲', '赵露思', '范伟', '彭磊', '鄂靖文', '高虎', '黄贯中', '叶世荣', '董立范', '谢天笑', '梁超', '张海燕', '斯琴格日乐', '欧洋', '姚澜', '赵明义', '贾君刚', '李延亮', '火虹媛']",2017,"['喜剧', '音乐']",['中国大陆']
26757951,会痛的十七岁,['彭发'],"['徐娇', '胡夏', '鲁诺', '王力宏', '蔡卓妍', '句号', '秦语', '刘颖仪', '王艺默']",2017,['爱情'],['中国大陆']
26753020,空天猎,['李晨'],"['李晨', '范冰冰', '王千源', '李佳航', '赵达', '李晨浩', '郭洺宇', '叶浏', '陆思宇', '托马尔·奥兹', '吴秀波', '邓超', '王学圻', '叶展飞', '张诣文含', '韩龙瑄', '安得路']",2017,"['剧情', '动作', '战争']",['中国大陆']
26862829,芳华,['冯小刚'],"['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰', '王天辰', '王可如', '隋源', '张仁博', '苏岩', '张国立', '赵立新', '罗攀', '李静', '大昕', '李彦漫', '杨烁', '郭沛志', '李卓航', '周放', '邝晓彤']",2017,"['剧情', '历史', '战争']",['中国大陆']
27063335,捍卫者,"['廖希', '韩平', '张巳阳']","['白恩', '吕星辰', '赫子铭', '王璐', '宋熹', '杨俊生', '小林成男', '冯家妹', '郄路通', '陈俊杰', '美浓轮泰史', '刘俊焘', '廖希', '杜子蓝']",2017,"['剧情', '历史', '战争']",['中国大陆']
26426099,极致追击,['查尔斯·马丁'],"['奥兰多·布鲁姆', '吴磊', '任达华', '熊黛林', '昆凌', '梁静', '释彦能', '英达', '常戎', '白梓轩', '王若溪', '易正福']",2017,"['动作', '犯罪', '冒险']",['中国大陆']
26425068,追龙,"['王晶', '关智耀']","['甄子丹', '刘德华', '姜皓文', '郑则仕', '刘浩龙', '汤镇业', '喻亢', '胡然', '徐冬冬', '黄日华', '陈惠敏', '周励淇', '吴毅将', '林靖文', '姚文基', '王志文', '哈里·奥拉姆', '郭汉柱', '周美成', '陈少华', '易宇航', '伍允龙', '李日升', '曾江', '尹子维', '夏晴', '王俊棠', '郑恕峰', '周俊伟', '麦克·里德', '韩昕怡', '叶朗钲', '聂安达', '叶铭浩', '黄竣锋', '狼森']",2017,"['动作', '犯罪']","['中国香港', '中国大陆']"
27038183,羞羞的铁拳,"['宋阳', '张吃鱼']","['艾伦', '马丽', '沈腾', '田雨', '宋阳', '薛皓文', '常远', '黄才伦', '王智', '尹正', '林威', '王成思', '贾金金', '杨阳', '李海银', '龚锐', '魏凯', '许猛', '于瀚钧', '高志恒', '法尔德·哈米德·礼萨', '魏玮', '高旭东', '高海宝', '沈樵']",2017,"['喜剧', '奇幻']",['中国大陆']
27045442,钢铁飞龙之再见奥特曼,['王巍'],"['侯勇', '大张伟', '金晨', '曲哲明', '向佐', '罗云熙', '郝劭文', '汪铎', '屈菁菁']",2017,"['动作', '科幻', '动画']",['中国大陆']
26818312,情遇曼哈顿,['李巨源'],"['王丽坤', '高以翔', '李媛', '王传君', '柯南·何裴', '乔安娜·帕特南']",2017,"['喜剧', '爱情']",['中国大陆']
27148198,十八洞村,['苗月'],"['王学圻', '白威', '陈西贝', '陈瑾', '墨阳', '阿旺仁青']",2017,['剧情'],['中国大陆']
26289125,蝴蝶公墓,['马伟豪'],"['张俪', '锦荣', '李子峰', '李若彤', '安悦溪', '汪小敏', '刘羽琦', '李欣烨', '韩志', '王瑗']",2017,"['爱情', '奇幻']",['中国大陆']
27042526,胡杨的夏天,['朱时茂'],"['朱一龙', '姜瑞佳', '张文婷', '马也', '徐光宇', '杨大鹏', '范晋嘉', '王思懿', '祝延平', '陈佩斯', '海哈金喜', '潘长江', '刘亚津', '邬君梅']",2017,"['喜剧', '爱情']",['中国大陆']
26890502,推理笔记,['张天辉'],"['陈都灵', '林柏宏', '汪铎', '郝劭文', '金士杰', '王刚', '李宣榕', '宋周玲', '西尔扎提']",2017,"['剧情', '悬疑']",['中国大陆']
26961002,常在你左右,['邱礼涛'],"['古天乐', '张智霖', '林家栋', '蔡卓妍', '佘诗曼', '林雪', '苑琼丹', '雨侨', '王志文', '黄雅敏', '陈智伟', '吴文舜', '胡燕婷', '何国男', '罗兰', '李静仪', '林德信', '周祉君']",2017,"['悬疑', '犯罪']","['中国香港', '中国大陆']"
26773744,相爱相亲,['张艾嘉'],"['张艾嘉', '田壮壮', '郎月婷', '宋宁峰', '吴彦姝', '耿乐', '谭维维', '刘若英', '王志文', '李雪健', '马嘉祺', '张艺瀚', '张继南', '王丽媛']",2017,"['剧情', '爱情', '家庭']","['中国大陆', '中国台湾']"
26426026,七十七天,['赵汉唐'],"['江一燕', '赵汉唐', '李庆誉']",2017,"['剧情', '冒险']",['中国大陆']
26316956,密战,['钟少雄'],"['郭富城', '赵丽颖', '张翰', '任达华', '张蓝心', '朱一龙', '于晓光', '刘玥心', '奚美娟', '寇振海', '由立平', '安亚平', '孙耀威', '曹操', '李滨', '涂黎曼', '艾如', '王子谦', '高嘉隆']",2017,"['剧情', '动作', '战争']",['中国大陆']
